"'Allowance' column title","'ค่าเผื่อ' ชื่อคอลัมน์"
"Show as Icon?","แสดงเป็นไอคอน?"
"Show attribute titles?","แสดงแอตทริบิวต์ชื่อ?"
"Show barcode SKU?","แสดงบาร์โค้ด SKU?"
"Show Base Currency values in Subtotals?","แสดงค่าสกุลเงินหลักในผลรวมย่อย?"
"Show BetaBoxes?","แสดง BetaBoxes?"
"Show billing address at top?","แสดงอยู่เรียกเก็บเงินที่ด้านบน?"
"Show billing address?","แสดงอยู่เรียกเก็บเงิน?"
"Show billing phone under shipping address ?","แสดงโทรศัพท์เรียกเก็บเงินใต้ที่อยู่จัดส่ง?"
"Show billing phone?","แสดงการเรียกเก็บเงินโทรศัพท์?"
"Show Box 1?","แสดงกล่อง 1?"
"Show Box 2?","แสดงกล่อง 2?"
"Show Box 3?","แสดงช่อง 3 หรือไม่?"
"Show box estimation?","แสดงการประมาณค่ากล่อง?"
"Show brackets around tax?","แสดงวงเล็บรอบภาษีได้หรือไม่"
"Show bundle parent?","แสดงให้ผู้ปกครองกำ?"
"Show bundle parents?","แสดงผู้ปกครองกำ?"
"Show bundle product children?","แสดงสินค้าเด็กกำ?"
"Show column titles?","แสดงชื่อคอลัมน์?"
"Show cost subtotal?","แสดงผลรวมย่อยมีค่าใช้จ่าย?"
"Show Currency Exchange Rate in Subtotals?","แสดงอัตราแลกเปลี่ยนเงินตราต่างประเทศในผลรวมย่อย?"
"Show custom attribute?","แสดงแอตทริบิวต์ที่กำหนดเอง?"
"Show custom barcode?","แสดงบาร์โค้ดที่กำหนดเอง?"
"Show custom product attribute (2)?","แสดงคุณสมบัติของสินค้าที่กำหนดเอง (2)?"
"Show custom product attribute (3)?","แสดงคุณสมบัติของสินค้าที่กำหนดเอง (3)?"
"Show custom product attribute (4)?","แสดงคุณสมบัติของสินค้าที่กำหนดเอง (4)?"
"Show custom product attribute?","แสดงคุณสมบัติของสินค้าที่กำหนดเองได้อย่างไร"
"Show custom product attributes?","แสดงคุณลักษณะของผลิตภัณฑ์ที่กำหนดเอง?"
"Show custom product options?","แสดงตัวเลือกสินค้าที่กำหนดเองได้อย่างไร"
"Show custom qrcode?","แสดง QRCode กำหนดเองได้อย่างไร"
"Show customer email?","แสดงอีเมลของลูกค้า?"
"Show customer group?","แสดงกลุ่มลูกค้า?"
"Show customer ID?","แสดงรหัสลูกค้า?"
"Show customer phone?","แสดงโทรศัพท์ลูกค้า?"
"Show customer VAT number?","แสดงหมายเลข VAT ลูกค้า?"
"Show custommer comment?","แสดงความคิดเห็น Custommer?"
"Show date printed?","แสดงวันที่พิมพ์?"
"Show deadline text / date?","แสดงข้อความที่กำหนดเส้นตายวันที่ /?"
"Show discount?","แสดงส่วนลด?"
"Show discounts in order subtotal","แสดงผลรวมย่อยส่วนลดในการสั่งซื้อ"
"Show discounts in order subtotal'","แสดงผลรวมย่อยส่วนลดในการสั่งซื้อ '"
"Show discounts where?","แสดงส่วนลดที่ไหน?"
"Show discounts?","แสดงส่วนลด?"
"Show Earned Points?","แสดงได้รับคะแนน?"
"Show extended info line?","บรรทัดแสดงข้อมูลขยาย?"
"Show extra shipping details?","แสดงรายละเอียดการจัดส่งสินค้าพิเศษ?"
"Show fixed text?","แสดงข้อความถาวร?"
"Show fixed-text for non-Store-Pickup orders?","แสดงการแก้ไขข้อความสำหรับการสั่งซื้อที่ไม่ใช่ร้านค้ารถรับส่ง?"
"Show for bundle children?","แสดงสำหรับเด็กกำ?"
"Show full payment?","แสดงการชำระเงินครบถ้วนหรือไม่"
"Show gift message title 'to/from'","แสดงที่ระลึกชื่อข้อความ 'จาก / ไป'"
"Show gift message?","แสดงข้อความของขวัญ?"
"Show gift messages?","แสดงข้อความของขวัญ?"
"Show gift wrap message?","แสดงข้อความห่อของขวัญ?"
"Show gift wrap style?","แสดงรูปแบบกระดาษห่อของขวัญ?"
"Show giftwrap label?","แสดงฉลากห่อของขวัญ?"
"Show Grand Total?","แสดงรวมแกรนด์?"
"Show icon top-of-page for wrap orders?","แสดงไอคอนด้านบนของหน้าสำหรับการสั่งซื้อห่อ?"
"Show invoiced date?","แสดงวันที่ออกใบแจ้งหนี้?"
"Show items count?","แสดงรายการนับ?"
"Show logo on Pick Lists?","แสดงโลโก้ในรายการเลือก?"
"Show logo on picklists?","แสดงโลโก้ picklists?"
"Show mageworld order delivery date?","แสดง mageworld วันที่ส่งมอบเพื่อ?"
"Show Mageworx Multifees?","แสดง Mageworx Multifees?"
"Show movable Order ID?","แสดงรหัสการสั่งซื้อที่สามารถเคลื่อนย้าย?"
"Show name?","แสดงชื่อ?"
"Show on line item' can help reduce customs fees","แสดงในรายการบรรทัด 'สามารถช่วยลดภาษีศุลกากร"
"Show order column titles?","แสดงชื่อคอลัมน์การสั่งซื้อ"
"Show order comments?","แสดงความคิดเห็นเพื่อ?"
"Show order custom attribute?","แสดงเพื่อแอตทริบิวต์ที่กำหนดเอง?"
"Show order date?","แสดงวันที่สั่งซื้อ?"
"Show order gift message?","แสดงข้อความที่ระลึกเพื่อ?"
"Show Order Grand Total","แสดงการสั่งซื้อรวมแกรนด์"
"Show Order ID (above address)?","แสดงรหัสการสั่งซื้อ (เหนือที่อยู่)?"
"Show Order ID above address?","แสดงรหัสการสั่งซื้อดังกล่าวข้างต้นอยู่?"
"Show Order ID barcode?","แสดงบาร์โค้ดรหัสคำสั่งซื้อ?"
"Show Order ID barcodes?","แสดงบาร์โค้ดรหัสคำสั่งซื้อ?"
"Show Order ID in product label?","แสดงรหัสการสั่งซื้อในฉลากของผลิตภัณฑ์?"
"Show Order ID?","แสดงรหัสการสั่งซื้อ?"
"Show Order IDs?","แสดงรหัสการสั่งซื้อ?"
"Show order number?","แสดงจำนวนการสั่งซื้อ?"
"Show Order Subtotals?","แสดงผลรวมย่อยการสั่งซื้อ?"
"Show Order Tax Total","แสดงการสั่งซื้อรวมภาษี"
"Show Order Total (no Tax)","แสดงยอดสั่งซื้อรวม (ไม่รวมภาษี)"
"Show page title bar?","แสดงแถบชื่อหน้า?"
"Show parent product name","แสดงชื่อผลิตภัณฑ์ผู้ปกครอง"
"Show payment method?","แสดงวิธีการชำระเงิน?"
"Show phone numbers?","แสดงหมายเลขโทรศัพท์?"
"Show pickup date/time on same line?","แสดงวันที่รถกระบะที่ / เวลาในบรรทัดเดียวกันได้หรือไม่"
"Show Point Discount?","แสดงจุดส่วนลด?"
"Show Price?","แสดงราคา?"
"Show prices?","แสดงราคา?"
"Show product gift message?","แสดงข้อความที่ระลึกผลิตภัณฑ์หรือไม่?"
"Show Product Gift-Wrap Column?","แสดงสินค้าห่อของขวัญคอลัมน์?"
"Show Product Grand Total","แสดงสินค้ารวมแกรนด์"
"Show Product ID barcode","แสดงบาร์โค้ดรหัสสินค้า"
"Show product ID below barcode?","แสดงหมายเลขผลิตภัณฑ์ด้านล่างบาร์โค้ด?"
"Show product images?","แสดงภาพผลิตภัณฑ์หรือไม่?"
"Show product line total?","แสดงผลิตภัณฑ์บรรทัดรวม?"
"Show Product list?","แสดงรายการสินค้า?"
"Show product name bold?","แสดงชื่อผลิตภัณฑ์ที่เป็นตัวหนา?"
"Show product name?","แสดงชื่อผลิตภัณฑ์หรือไม่?"
"Show product names?","แสดงชื่อผลิตภัณฑ์หรือไม่?"
"Show product options?","แสดงตัวเลือกผลิตภัณฑ์หรือไม่?"
"Show Product qty?","แสดงจำนวนสินค้า?"
"Show product sku barcode?","แสดงสินค้ารหัสสินค้าบาร์โค้ด?"
"Show product sku?","แสดงสินค้ารหัสสินค้า?"
"Show Product Tax Total","แสดงภาษีสินค้าทั้งหมด"
"Show Product Total(no Tax)","แสดงสินค้าทั้งหมด (ไม่รวมภาษี)"
"Show product type?","แสดงประเภทของผลิตภัณฑ์?"
"Show product-level gift messages?","แสดงข้อความที่ระลึกระดับผลิตภัณฑ์?"
"Show purchase order #?","แสดงคำสั่งซื้อ #?"
"Show qty as:","แสดงจำนวนเป็น:"
"Show return address?","แสดงที่อยู่กลับมา?"
"Show Sheet Grand Total with Tax/ without Tax","แสดงแผ่นแกรนด์รวมกับภาษี / ไม่เสียภาษี"
"Show Sheet Total","แสดงแผ่นรวม"
"Show Sheet Total with Tax/ without Tax","แสดงแผ่นรวมกับภาษี / ไม่เสียภาษี"
"Show shelving info?","แสดงข้อมูลการเก็บเข้าลิ้นชัก?"
"Show Ship Grand Total","แสดงเรือแกรนด์รวม"
"Show Ship Tax Total","แสดงเรือรวมภาษี"
"Show Ship Total (no Tax)","แสดงเรือรวม (ไม่รวมภาษี)"
"Show shipping address at top?","แสดงที่อยู่ในการจัดส่งที่ด้านบน?"
"Show shipping address title?","แสดงชื่อที่อยู่จัดส่ง?"
"Show shipping address?","แสดงที่อยู่จัดส่ง?"
"Show shipping carrier?","แสดงผู้ให้บริการจัดส่งสินค้า?"
"Show shipping method?","แสดงวิธีการจัดส่ง?"
"Show Shipping Price?","แสดงการจัดส่งสินค้าราคา?"
"Show Shipping subtotal?","แสดงผลรวมย่อยการจัดส่งสินค้า?"
"Show shipping warehouse?","แสดงคลังสินค้าการจัดส่งสินค้า?"
"Show simple product name","แสดงชื่อผลิตภัณฑ์ที่เรียบง่าย"
"Show SKU?","แสดง SKU?"
"Show Source in subtotal?","แสดงที่มาในผลรวมย่อย?"
"Show specific attribute?","แสดงแอตทริบิวต์ที่เฉพาะเจาะจง"
"Show Spent Points?","แสดงจุดที่อยู่ในระบบ?"
"Show stock alert below...","แสดงการแจ้งเตือนหุ้นดังต่อไปนี้ ..."
"Show stock alerts?","แสดงการแจ้งเตือนสต็อก?"
"Show stock qty?","แสดงจำนวนสต็อก?"
"Show subtotal?","แสดงผลรวมย่อย?"
"Show Subtotals?","แสดงผลรวมย่อย?"
"Show tax breakdown?","แสดงรายละเอียดภาษีได้หรือไม่"
"Show tax separately?","แสดงภาษีแยกต่างหาก?"
"Show tickbox 2nd?","แสดงช่องทำเครื่องหมายที่ 2?"
"Show tickbox?","แสดงช่องทำเครื่องหมาย?"
"Show total discount?","แสดงส่วนลดรวม?"
"Show Total Due?","แสดงรวมลูกหนี้?"
"Show Total Order","แสดงยอดสั่งซื้อรวม"
"Show Total Paid?","แสดงรวมเงิน?"
"Show total shipping?","แสดงค่าจัดส่งรวม?"
"Show total tax?","แสดงรวมภาษี?"
"Show total weight?","แสดงน้ำหนักรวม?"
"Show tracking number as barcode?","แสดงหมายเลขการติดตามเป็นบาร์โค้ด?"
"Show tracking number?","แสดงหมายเลขติดตาม?"
"Show unit price?","แสดงราคาต่อหน่วย?"
"Show unit tax Total","แสดงรวมภาษีหน่วย"
"Show unit tax?","แสดงภาษีหน่วย?"
"Show which date?","แสดงว่าวันที่?"
"Show which Store-Pickup details?","แสดงรายละเอียดที่ร้านค้ารถรับส่ง?"
"Show which value for configurable product names?","แสดงว่าค่าสำหรับชื่อผลิตภัณฑ์ที่กำหนดค่า?"
"Show which value for product names?","แสดงให้เห็นว่าคุ้มค่าสำหรับชื่อผลิตภัณฑ์หรือไม่?"
"Show WSA Store-Pickup details?","แสดง WSA รายละเอียดร้านค้ารถรับส่ง?"
"Show zero-value discount?","แสดงส่วนลดค่าเป็นศูนย์?"
"Show zero-value shipping?","แสดงการจัดส่งสินค้าที่มีมูลค่าเป็นศูนย์?"
"Show zero-value tax?","แสดงภาษีเป็นศูนย์คุ้มค่า?"
"Show Zipcode barcode?","แสดงบาร์โค้ดรหัสไปรษณีย์?"
"Show?","แสดง?"
"Shows item if stock below this; Default: 1","แสดงรายการถ้าหุ้นด้านล่างนี้ เริ่มต้น: 1"
"Shows SKU in red if stock below this number","แสดงรหัสสีแดงถ้าหุ้นดังต่อไปนี้หมายเลขนี้"
"Signature line?","บรรทัดลายเซ็น?"
"Simple product name","ชื่อผลิตภัณฑ์ที่เรียบง่าย"
"Simple product name, even in configurable","ชื่อสินค้าที่ง่ายแม้ในการกำหนดค่า"
"Size","ขนาด"
"Size attribute","แอตทริบิวต์ขนาด"
"Size X-pos.","ขนาด X-POS"
"SKU barcode column title","รหัสบาร์โค้ดชื่อคอลัมน์"
"SKU column title","ชื่อคอลัมน์ SKU"
"SKU position","ตำแหน่ง SKU"
"SKU X-pos.","รหัส X-POS"
"SKU?","SKU?"
"Small Image","รูปภาพขนาดเล็ก"
"Sort bundle children?","เด็กเรียงกำ?"
"Sort by :","เรียงลำดับโดย:"
"Sort direction :","ทิศทางการจัดเรียง:"
"Sort items by :","รายการเรียงลำดับโดย:"
"Sort product lists by :","รายชื่อเรียงสินค้าตาม:"
"Sort product lists?","รายชื่อเรียงสินค้า?"
"Sort products by :","ผลิตภัณฑ์เรียงลำดับโดย:"
"Sort Secondary by :","เรียงรองโดย:"
"Sorting attribute :","เรียงลำดับแอตทริบิวต์:"
"Spacer character:","ตัวอักษรเป็นตัวเว้นวรรค:"
"Specific font-size for Town/State/Zip","เฉพาะ font-size สำหรับเมือง / รัฐ / ซิป"
"Split &amp; group bundle parents and children/simple-products separately","Split & amp; กลุ่มพ่อแม่ผู้ปกครองและเด็กกำ / ง่ายผลิตภัณฑ์แยกต่างหาก"
"Split by logged-in user?","แยกตามผู้ใช้เข้าสู่ระบบใน?"
"Split PDFs by supplier","ไฟล์ PDF แบ่งตามผู้จัดจำหน่าย"
"Standard : shipping on left, billing on right","มาตรฐาน: การจัดส่งสินค้าด้านซ้ายด้านขวาเรียกเก็บเงิน"
"Star specific value?","ดาราค่าเฉพาะ?"
"Start from fixed Y-Pos?","เริ่มต้นจากการแก้ไข Y-Pos?"
"Start overflow pages where?","หน้าเริ่มต้นล้นที่ไหน?"
"Start with 'From :' to have that a different size","เริ่มต้นด้วย 'จาก:' ที่จะมีขนาดที่แตกต่างกัน"
"Status","สถานะ"
"Stock alert below...","แจ้งการแจ้งเตือนด้านล่าง ..."
"Stock alerts?","แจ้งเตือนหุ้น?"
"Stock Filter","หุ้นตัวกรอง"
"Store","เก็บ"
"Strip line breaks and commas?","Strip แบ่งบรรทัดและจุลภาค?"
"Strip linebreaks from non-address fields in CSV exports?","ตัดบรรทัดใหม่จากสาขาที่ไม่ใช่ที่อยู่ในการส่งออก CSV?"
"Strip linebreaks in gift messages?","ตัดบรรทัดใหม่ในข้อความที่ระลึก?"
"Strip linebreaks in order comments?","Strip linebreaks ในความคิดเห็นเพื่อ?"
"Style","รูปแบบ"
"Subheadings : Color","หัวเรื่องย่อย: สี"
"Subheadings : Font","หัวเรื่องย่อย: ตัวอักษร"
"Subheadings : Size","หัวเรื่องย่อย: ขนาด"
"Subheadings : Style","Vergi dahil."
"Subsection height","Vergi"
"Subtotal align","Vergi dahil."
"Subtotal Labels X-pos","ยอดรวมป้าย X-POS"
"Subtotal Numbers X-pos","ตัวเลขยอดรวม X-POS"
"Suggested : [blank] or 'billing details'","แนะนำ: [ว่าง] หรือ "รายละเอียดการเรียกเก็บเงิน '"
"Suggested : [blank] or 'Ship","แนะนำ: [ว่าง] หรือ 'เรือ"
"Suggested : [blank] or 'shipping details'","แนะนำ: [ว่าง] หรือ "รายละเอียดการจัดส่งสินค้า '"
"Supplier  'login'","ซัพพลายเออร์ 'เข้าสู่ระบบ'"
"Supplier attribute","แอตทริบิวต์ผู้ผลิต"
"Supplier options","ตัวเลือกซัพพลายเออร์"
"Supplier username:suppliername","ชื่อผู้จัดจำหน่าย: suppliername"
"Switched, billing on donw, shipping on up","เปลี่ยนการเรียกเก็บเงินใน donw, การจัดส่งสินค้าขึ้น"
"Switched, billing on left, shipping on right","เปลี่ยนการเรียกเก็บเงินด้านซ้ายด้านขวาการจัดส่งสินค้า"
"T: ","T:"
"Take product name from:","ใช้ชื่อผลิตภัณฑ์จาก:"
"Tax column title","ชื่อคอลัมน์ภาษี"
"Tax display method","วิธีการแสดงภาษี"
"Tax Incl.","รวมภาษี"
"Tax Label","ป้ายภาษี"
"Tax Label Incl.","ฉลากรวมภาษี"
"Tax paid?","ภาษีเงิน?"
"Teando Delivery Options?","Teando จัดส่งตัวเลือก?"
"Temando Delivery Options?","Temando จัดส่งตัวเลือก?"
"Text","ข้อความ"
"Text for 'Packed 2 by' note :","ข้อความสำหรับ 'บรรจุ 2 โดย' หมายเหตุ:"
"Thailand CN22 Label Image","ประเทศไทย CN22 ป้ายภาพ"
"This needs the <b><a href="https://moogento.com/shipeasy" target="_blank">shipEasy</a></b> extension to work","นี้ต้อง <b> <a href="https://moogento.com/shipeasy" target="_blank"> shipEasy </a> </ b> การขยายการทำงาน"
"This option will work if you have installed Gift Wrap feature of Magento Enterprise","ตัวเลือกนี้จะทำงานคุณลักษณะกระดาษห่อของขวัญถ้าคุณได้ติดตั้งของวีโอไอพีเอ็นเตอร์ไพรส์"
"This option will work if you have installed warehouse extension.","ตัวเลือกนี้จะทำงานขยายคลังสินค้าถ้าคุณได้ติดตั้ง"
"This sets: Packing Sheets, Invoices, Picklists.","ชุดนี้: แผ่นบรรจุ, ใบแจ้งหนี้, Picklists"
"This will add an info label at the end of every print run.","นี้จะเพิ่มป้ายข้อมูลในตอนท้ายของการพิมพ์ทุก"
"This will be added to each order's total weight","นี้จะถูกเพิ่มน้ำหนักรวมของการสั่งซื้อแต่ละ"
"This will create different pick lists per supplier","นี้จะสร้างรายการเลือกที่แตกต่างกันต่อซัพพลายเออร์"
"This will group all products by their category (useful for outbound customs declarations)","น้ำพระทัยกลุ่มนี้ทุกผลิตภัณฑ์ตามหมวดหมู่ของพวกเขา (มีประโยชน์สำหรับขาออกประกาศศุลกากร)"
"This will move the image on each label","นี้จะย้ายภาพในแต่ละป้าย"
"This will slow down PDF generation by a lot, so leave 'No' unless you really need it","นี้จะชะลอตัวลงรุ่น PDF โดยมากดังนั้นปล่อยให้ 'ไม่' ยกเว้นกรณีที่คุณต้องการจริงๆ"
"Thumbnail","รูปขนาดย่อ"
"Tickbox 2nd Xpos","ช่องทำเครื่องหมายที่ 2 Xpos"
"Tickbox 2nd?","ช่องทำเครื่องหมายที่ 2?"
"Tickbox Xpos","ช่องทำเครื่องหมาย Xpos"
"Tickbox?","ช่องทำเครื่องหมาย?"
"Time","เวลา"
"Tip : Use short title(s) if you choose 'beside'","เคล็ดลับ: ใช้ชื่อสั้น (s) หากคุณเลือก 'ข้าง'"
"Title","หัวข้อ"
"Title text","ข้อความชื่อเรื่อง"
"Titlebars Bkg Color","Titlebars BKG สี"
"Today\'s Date","วันนี้วันที่"
"Top address padding","ช่องว่างที่อยู่ด้านบน"
"Top Left","ด้านบนซ้าย"
"Top of page","ด้านบนของหน้า"
"Top-left Ribbon","ริบบิ้นบนด้านซ้าย"
"Total invoiced items count?","รายการใบแจ้งหนี้รวมนับ?"
"Total items count?","รายการทั้งหมดนับ?"
"Total order count?","ยอดสั่งซื้อรวมนับ?"
"Total paid column","คอลัมน์จ่ายรวม"
"Total paid for each SKU?","รวมจ่ายแต่ละ SKU?"
"Total paid?","ทั้งหมดที่จ่าย?"
"Total price column title","ชื่อคอลัมน์ราคารวม"
"Total product qty title","รวมชื่อจำนวนสินค้า"
"Total shipped items count?","สินค้าที่จัดส่งรวมนับ?"
"Total shipping paid?","การจัดส่งสินค้ารวมเงิน?"
"Total weight?","น้ำหนักรวม?"
"Tracking number font size","ติดตามจำนวนขนาดตัวอักษร"
"Tracking Number?","หมายเลขติดตาม?"
"Trigger statuses","สถานะ Trigger"
"Trim long content?","ตัดเนื้อหายาว?"
"Trim long?","ตัดยาว?"
"Trim long SKUs?","ตัด SKUs ยาว?"
"Trim Product Name","ตัดชื่อสินค้า"
"Trim Product Name?","ตัดชื่อสินค้า?"
"Trim SKU?","ตัด SKU?"
"Trim?","Trim?"
"Truncate items to fit in columns?","ตัดรายการที่จะใส่ในคอลัมน์?"
"UK CN22 Label Image","สหราชอาณาจักร CN22 ป้ายภาพ"
"Under product-list message","ภายใต้ข้อความ Product-List"
"Under product-list Message A","ภายใต้ Product-List ข้อความ"
"Under product-list Message B","ภายใต้ Product-List ข้อความ B"
"Under shipping details","ภายใต้การจัดส่งรายละเอียด"
"Unhold?","เลิกพักสาย?"
"Unit price column title","หน่วยชื่อคอลัมน์ราคา"
"Unit price title","ชื่อราคาต่อหน่วย"
"Unit tax title","ชื่อหน่วยภาษี"
"Unit tax title?","ชื่อหน่วยภาษี?"
"Update after process","Update หลังจากที่กระบวนการ"
"Update Order Attribute","แอตทริบิวต์การปรับปรุงการสั่งซื้อสินค้า"
"Update shipEasy Flag","ปรับปรุง shipEasy ธง"
"Upload a .ttf or .otf font file","อัปโหลด .ttf หรือ .otf ไฟล์ตัวอักษร"
"Upload a .ttf or .otf font file <br />'Font style' settings","อัปโหลด .ttf หรือ .otf อักษรไฟล์ <br /> การตั้งค่า 'รูปแบบตัวอักษร'"
"Upload a .ttf or .otf font file <br />'Font style' settings are ignored with custom fonts","อัปโหลด .ttf หรือ .otf อักษรไฟล์ <br /> การตั้งค่า 'รูปแบบตัวอักษร' จะถูกละเลยด้วยตัวอักษรที่กำหนดเอง"
"Upload a .ttf or .otf font file'Font style' settings","อัปโหลด .ttf หรือ .otf 'ตั้งค่าตัวอักษรสไตล์ file'Font"
"Upload a .ttf or .otf font file<br />'Font style' settings are ignored with custom fonts","อัปโหลด .ttf หรือ .otf อักษรไฟล์ <br /> การตั้งค่า 'รูปแบบตัวอักษร' จะถูกละเลยด้วยตัวอักษรที่กำหนดเอง"
"Upsize + bold qty, if qty = 2+","Upsize จำนวนตัวหนา + ถ้าจำนวน = 2 +"
"USA CN22 Label Image","สหรัฐอเมริกา CN22 ป้ายภาพ"
"Use <b>shippingRules</b> generated shipping label?","ใช้ <b> shippingRules </ b> ป้ายชื่อการจัดส่งสินค้าที่สร้าง?"
"Use as a way to constrain the address inside a specific label or area","ใช้เป็นวิธีที่จะ จำกัด อยู่ภายในป้ายที่เฉพาะเจาะจงหรือพื้นที่"
"Use GFS Shipping Labels?","ใช้ป้ายชื่อ GFS การจัดส่งสินค้า?"
"Use logged-in language","การใช้ภาษาในการเข้าสู่ระบบ"
"Use Magento Grand Total?","ใช้วีโอไอพีแกรนด์รวม?"
"Use Magento subtotals?","ใช้ผลรวมย่อยวีโอไอพี?"
"Use order storeview language","การใช้ภาษาเพื่อ storeview"
"Use together with 'Update shipEasy Flag' -> 'Yes, Printed'","ใช้ร่วมกับ 'อัพเดต shipEasy ธง' -> 'ใช่พิมพ์'"
"Use what language and when?","ใช้ภาษาอะไรและเมื่อไหร่?"
"Use which image?","ใช้งานง่ายซึ่งภาพ?"
"Use which?","ซึ่งใช้?"
"Uses header logo from Packing Sheet","ใช้โลโก้โหม่งแผ่นบรรจุ"
"Using One Step Checkout (Magestore) delivery date","โดยใช้ขั้นตอนที่หนึ่งกร้า (Magestore) วันที่ส่งมอบ"
"Usually goes at page base - handy for QC","มักจะไปที่ฐานหน้า - มีประโยชน์สำหรับการควบคุมคุณภาพ"
"Value","ความคุ้มค่า"
"Vert Line","สายสีเขียว"
"Warehouse?","คลังสินค้า?"
"Weight Based number?","น้ำหนักจำนวน Based?"
"Weight Based?","น้ำหนัก Based?"
"Weight multiplier","คูณน้ำหนัก"
"Weight rounding","น้ำหนักปัดเศษ"
"Weight unit","น้ำหนักต่อหน่วย"
"Weight unit:","หน่วยน้ำหนัก:"
"What is your word for 'tax'?","คำของคุณ 'ภาษี' คืออะไร?"
"Where to position custom product attributes on the picklists.<br />Default: Columns","ที่จะวางตำแหน่งผลิตภัณฑ์แอตทริบิวต์ที่กำหนดเองใน picklists <br /> เริ่มต้น:. คอลัมน์"
"Which Aitoc attribute codes?","ซึ่ง Aitoc แอตทริบิวต์รหัส?"
"Which Options?","ตัวเลือก?"
"Which value for configurable product names?","ซึ่งค่าสำหรับชื่อผลิตภัณฑ์ที่กำหนดค่า?"
"Which?","ที่?"
"Width","ความกว้าง"
"X days after printing date?","X วันหลังจากวันที่พิมพ์?"
"X-Nudge","X-เขยิบ"
"X-pos","X-POS"
"X-Pos [434]","X-Pos [434]"
"X-Pos.  images 222","X-Pos ภาพ 222"
"X-Pos. attr. 2","X-Pos attr 2"
"X-Pos. attr. 2 (+ prices col)","X-Pos attr 2 (+ ราคาเทือกเขา)"
"X-Pos. attr. 2 (+ prices, tax cols)","X-Pos attr 2 (+ ราคา cols ภาษี)"
"X-Pos. attr. 3","X-Pos attr 3"
"X-Pos. attr. 3 (+ prices col)","X-Pos attr 3 (+ ราคาเทือกเขา)"
"X-Pos. attr. 3 (+ prices, tax cols)","X-Pos attr 3 (+ ราคา cols ภาษี)"
"X-Pos. barcodes","X-Pos บาร์โค้ด"
"X-Pos. custom product options","X-Pos ตัวเลือกผลิตภัณฑ์ที่กำหนดเอง"
"X-Pos. custom product options (+ prices col)","X-Pos ตัวเลือกผลิตภัณฑ์ที่กำหนดเอง (+ ราคาเทือกเขา)"
"X-Pos. custom product options (+ prices, tax cols)","X-Pos ตัวเลือกผลิตภัณฑ์ที่กำหนดเอง (+ ราคา cols ภาษี)"
"X-Pos. date","X-Pos วันที่"
"X-Pos. images","X-Pos ภาพ"
"X-Pos. images (+ prices col)","X-Pos ภาพ (+ ราคาเทือกเขา)"
"X-Pos. images (+ prices, tax cols)","X-Pos ภาพ (ราคา + cols ภาษี)"
"X-Pos. name","X-Pos ชื่อ"
"X-Pos. name (+ prices col)","X-Pos ชื่อ (ราคา + เทือกเขา)"
"X-Pos. name (+ prices, tax cols)","X-Pos ชื่อ (ราคา + cols ภาษี)"
"X-Pos. numbered list","X-Pos รายการลำดับเลข"
"X-Pos. numbered list bundle children","X-Pos หมายเลขรายการเด็กกำ"
"X-Pos. product discount","X-Pos ส่วนลดสินค้า"
"X-Pos. product discount?","X-Pos ส่วนลดผลิตภัณฑ์หรือไม่?"
#N/A
"X-Pos. product line total?","X-Pos สายผลิตภัณฑ์ทั้งหมด?"
"X-Pos. qty","X-Pos จำนวน"
"X-Pos. qty (+ prices col)","X-Pos จำนวน (+ ราคาเทือกเขา)"
"X-Pos. qty (+ prices, tax cols)","X-Pos จำนวน (+ ราคา cols ภาษี)"
"X-Pos. shelf","X-Pos หิ้ง"
"X-Pos. shelf (+ prices col)","X-Pos การเก็บรักษา (ราคา + เทือกเขา)"
"X-Pos. shelf (+ prices, tax cols)","X-Pos การเก็บรักษา (ราคา + cols ภาษี)"
"X-Pos. sku","X-Pos SKU"
"X-Pos. sku (+ prices col)","X-Pos SKU (+ ราคาเทือกเขา)"
"X-Pos. sku (+ prices, tax cols)","X-Pos SKU (+ ราคา cols ภาษี)"
"X-Pos. SKU barcode","X-Pos บาร์โค้ด SKU"
"X-Pos. SKU barcode (+ prices col)","X-Pos รหัสบาร์โค้ด (ราคา + เทือกเขา)"
"X-Pos. SKU barcode (+ prices, tax cols)","X-Pos รหัสบาร์โค้ด (ราคา + cols ภาษี)"
"X-Pos. tickbox","X-Pos ช่องทำเครื่องหมาย"
"X-Pos. tickbox (+ prices col)","X-Pos ช่องทำเครื่องหมาย (+ ราคาเทือกเขา)"
"X-Pos. tickbox (+ prices, tax cols)","X-Pos ช่องทำเครื่องหมาย (+ ราคา cols ภาษี)"
"X-Pos. total price","X-Pos ราคารวม"
"X-Pos. total price (+ tax col)","X-Pos ราคารวม (+ Col ภาษี)"
"X-Pos. unit price","X-Pos ราคาต่อหน่วย"
"X-Pos. unit price (+ tax col)","X-Pos ราคาต่อหน่วย (+ Col ภาษี)"
"X-Pos. unit tax","X-Pos หน่วยภาษี"
"X-Pos. unit tax?","X-Pos ภาษีหน่วย?"
"XML/CSV Cargo Packing Sheet","XML / CSV Cargo บรรจุแผ่น"
"Xpos name","ชื่อ Xpos"
"Xpos qty","Xpos จำนวน"
"Xpos shelving","Xpos เก็บเข้าลิ้นชัก"
"Y-pos","Y-POS"
"Yes","ใช่"
"Yes (After tax)","ใช่ (หลังหักภาษี)"
